"The number of entries per field is limited to 10 for this overview."

ID,Name,"Collection number"
602,"Campylobacter coli bacteriophage","NCTC 12682"
603,"Campylobacter jejuni bacteriophage","NCTC 12680;ATCC 35924-B1"
604,"Campylobacter jejuni bacteriophage","NCTC 12678"
605,"Campylobacter jejuni bacteriophage","NCTC 12675"
606,"Campylobacter jejuni bacteriophage","NCTC 12674;ATCC 35922-B2"
607,"Campylobacter jejuni bacteriophage","NCTC 12672"
608,"Campylobacter jejuni bacteriophage","NCTC 12671"
609,"Campylobacter jejuni bacteriophage","NCTC 12670"
610,"Campylobacter jejuni bacteriophage","NCTC 12669"
611,"Streptococcus agalactiae bacteriophage","NCTC 11285"
612,"Streptococcus agalactiae bacteriophage","NCTC 11283"
613,"Streptococcus agalactiae bacteriophage","NCTC 11282"
614,"Streptococcus agalactiae bacteriophage","NCTC 11281"
615,"Streptococcus agalactiae bacteriophage","NCTC 11279"
616,"Streptococcus agalactiae bacteriophage","NCTC 11278"
617,"Streptococcus agalactiae bacteriophage","NCTC 11277"
618,"Streptococcus agalactiae bacteriophage","NCTC 11276"
619,"Streptococcus agalactiae bacteriophage","NCTC 11275"
620,"Streptococcus agalactiae bacteriophage","NCTC 11274"
621,"Streptococcus agalactiae bacteriophage","NCTC 11273"
622,"Streptococcus agalactiae bacteriophage","NCTC 11272"
623,"Streptococcus agalactiae bacteriophage","NCTC 11271"
624,"Streptococcus agalactiae bacteriophage","NCTC 11270"
625,"Streptococcus agalactiae bacteriophage","NCTC 11269"
626,"Streptococcus agalactiae bacteriophage","NCTC 11268"
627,"Streptococcus agalactiae bacteriophage","NCTC 11267"
628,"Streptococcus agalactiae bacteriophage","NCTC 11266"
629,"Streptococcus agalactiae bacteriophage","NCTC 11265"
630,"Streptococcus agalactiae bacteriophage","NCTC 11264"
631,"Streptococcus agalactiae bacteriophage","NCTC 11263"
632,"Streptococcus agalactiae bacteriophage","NCTC 11262"
633,"Streptococcus agalactiae bacteriophage","NCTC 11261"
634,"Streptococcus agalactiae bacteriophage","NCTC 11260"
635,"Streptococcus agalactiae bacteriophage","NCTC 11259"
636,"Streptococcus agalactiae bacteriophage","NCTC 11258"
637,"Streptococcus agalactiae bacteriophage","NCTC 11257"
638,"Streptococcus agalactiae bacteriophage","NCTC 11256"
639,"Streptococcus agalactiae bacteriophage","NCTC 11255"
640,"Staphylococcus aureus bacteriophage","NCTC 10969"
641,"Staphylococcus aureus bacteriophage","NCTC 10967"
642,"Staphylococcus aureus bacteriophage","NCTC 10456"
643,"Staphylococcus aureus bacteriophage","NCTC 10454"
644,"Staphylococcus aureus bacteriophage","NCTC 10040"
645,"Staphylococcus aureus bacteriophage","NCTC 10032"
646,"Staphylococcus aureus bacteriophage","NCTC 10021"
647,"Serratia phage kappa l52","DSM 14100"
648,"Lactococcus phage P001","DSM 4262"
649,"Escherichia phage phiX174 (Escherichia virus phiX174)","DSM 4497"
650,"Escherichia phage fd (Escherichia virus fd)","DSM 4498"
651,"Escherichia phage lambda (Escherichia virus Lambda)","DSM 4499"
652,"Escherichia phage T4 (Escherichia virus T4)","DSM 4505"
653,"Escherichia phage T3 (Escherichia virus T7)","DSM 4621"
654,"Escherichia phage T6 (Escherichia virus T4)","DSM 4622"
655,"Escherichia phage T7 (Escherichia virus T7)","DSM 4623"
656,"Bacillus phage SPbeta (Bacillus virusSPbeta)","DSM 5544"
657,"Bacillus phage Phi 29 (Bacillus virus phi29)","DSM 5546"
658,"Bacillus phage GA-1 (Bacillus virus GA1)","DSM 5548"
659,"Escherichia phage P1 (Escherichia virus P1)","DSM 5757"
660,"Escherichia phage T1 (Escherichia virus T1)","DSM 5801"
661,"Escherichia phage Mu","DSM 5818"
662,"Escherichia phage M13mp18","DSM 5919"
663,"Escherichia phage U3","DSM 8986"
664,"Pseudomonas phage Psp1","DSM 9282"
665,"Pseudomonas phage Psp2","DSM 9283"
666,"Pseudomonas phage Psp3","DSM 9284"
667,"Pseudomonas phage Psp4","DSM 9285"
668,"Pseudomonas phage Psp5","DSM 9286"
669,"Lactococcus phage P008","DSM 10567"
670,"psi M2 (Psimunavirus psiM2)","DSM 12792"
671,"Serratia phage kappa wildtype (Vibrio phage Kappa)","DSM 14097"
672,"Serratia phage kappa tap1","DSM 14098"
673,"Serratia phage kappa tay1","DSM 14099"
674,"Serratia phage kappa int169","DSM 14101"
675,"Serratia phage kappa c154","DSM 14102"
676,"Serratia phage kappa v164","DSM 14103"
677,"Serratia phage kappa ant1l52","DSM 14104"
678,"Serratia phage kappa iny170","DSM 14105"
679,"Serratia phage kappa cts163","DSM 14106"
680,"Serratia phage kappa cts166","DSM 14107"
681,"Serratia phage kappa e49","DSM 14108"
682,"Serratia phage kappa c1","DSM 14109"
683,"Serratia phage kappa c2","DSM 14110"
684,"Serratia phage kappa sus A94","DSM 14111"
685,"Serratia phage kappa sus D88","DSM 14112"
686,"Serratia phage kappa sus F92","DSM 14113"
687,"Serratia phage kappa sus G70","DSM 14114"
688,"Serratia phage kappa sus H97","DSM 14115"
689,"Serratia phage kappa sus I89","DSM 14116"
690,"Serratia phage kappa sus K55","DSM 14117"
691,"Serratia phage kappa sus L90","DSM 14118"
692,"Serratia phage kappa sus N95","DSM 14119"
693,"Serratia phage kappa sus O86","DSM 14120"
694,"Serratia phage kappa sus P87","DSM 14121"
695,"Serratia phage kappa sus Q4","DSM 14122"
696,"Serratia phage kappa sus R36","DSM 14123"
697,"Serratia phage kappa sus S74","DSM 14124"
698,"Serratia phage kappa sus T96","DSM 14125"
699,"Serratia phage kappa sus U188","DSM 14126"
700,"Serratia phage kappa sus V85","DSM 14127"
701,"Escherichia phage MS2 ( Emesvirus zinderi)","DSM 13767"
702,"Escherichia phage Qbeta (Qubevirus durum)","DSM 13768"
703,"Escherichia phage M13 (Escherichia virus M13)","DSM 13976"
704,"Serratia phage kappa sus W93","DSM 14128"
705,"Serratia phage psi wildtype","DSM 14129"
706,"Serratia phage psi iat1","DSM 14130"
707,"Serratia phage psi anp1","DSM 14131"
708,"Serratia phage y wildtype (Unassigned)","DSM 14132"
709,"Serratia phage y c1","DSM 14133"
710,"Serratia phage y aps2","DSM 14134"
711,"Serratia phage y any1","DSM 14135"
712,"Serratia phage y any4","DSM 14136"
713,"Serratia phage y any6","DSM 14137"
714,"Serratia phage y 6 delta g","DSM 14138"
715,"Escherichia phage vB_EcoM_PaulScherrer (Bas60)","DSM 112938"
716,"Escherichia phage T2 (Escherichia virus T4)","DSM 16352"
717,"Escherichia phage T5 (Escherichia virus T5)","DSM 16353"
718,"Staphylococcus phage Twort (Staphylococcus virus Twort)","DSM 17442"
719,"Escherichia phage Ffm","DSM 18264"
720,"Salmonella phage P22 (Salmonella virus P22)","DSM 18523"
721,"Salmonella phage Felix O1","DSM 18524"
722,"Salmonella phage PRD1 (Salmonella virus PRD1)","DSM 19107"
723,"Pseudomonas phage JG003 (Unassigned)","DSM 19870"
724,"Pseudomonas phage JG004 (Unassigned)","DSM 19871"
725,"Pseudomonas phage JG005 (Unassigned)","DSM 19872"
726,"Pseudomonas phage JG012 (Unassigned)","DSM 19873"
727,"Pseudomonas phage JG014 (Unassigned)","DSM 19875"
728,"Pseudomonas phage JG015","DSM 19876"
729,"Pseudomonas phage JG017 (Unassigned)","DSM 19878"
730,"Pseudomonas phage JG018 (Unassigned)","DSM 19879"
731,"Rhodococcus phage N5","DSM 49128"
732,"Gordonia phage N13","DSM 49129"
733,"Rhodococcus phage N18","DSM 49130"
734,"Nocardia phage N24","DSM 49131"
735,"Nocardia phage N26","DSM 49132"
736,"Rhodococcus phage N36","DSM 49133"
737,"Pseudonocardia phage W3","DSM 49134"
738,"Nocardioides phage X6","DSM 49135"
739,"Nocardiopsis phage D3","DSM 49136"
740,"Nocardiopsis phage D4","DSM 49137"
741,"Oerskovia phage O3","DSM 49138"
742,"Cellulosimicrobium phage O13","DSM 49139"
743,"Cellulosimicrobium phage O11","DSM 49140"
744,"Promicromonospora phage P1","DSM 49141"
745,"Micropolyspora phage Tm2","DSM 49142"
746,"Micropolyspora phage Tm3","DSM 49143"
747,"Saccharopolyspora phage Mp1","DSM 49144"
748,"Saccharopolyspora phage Mp2","DSM 49145"
749,"Sporichthya phage Sp1","DSM 49146"
750,"Streptomyces phage S1","DSM 49147"
751,"Streptomyces phage S2","DSM 49148"
752,"Streptomyces phage S4","DSM 49149"
753,"Streptomyces phage S6","DSM 49150"
754,"Streptomyces phage S7","DSM 49151"
755,"Actinomyces phage S3","DSM 49152"
756,"phi A.streptomycini III","DSM 49153"
757,"Streptomyces phage phi8238","DSM 49154"
758,"Streptomyces phage SH10","DSM 49155"
759,"Streptomyces phage phiC31 (Streptomyces virus phiC31)","DSM 49156"
760,"Terrabacter phage Tb2","DSM 49158"
761,"Tsukamurella phage Ts1","DSM 49159"
762,"Streptomyces phage P23","DSM 49023"
763,"Streptomyces phage P26","DSM 49026"
764,"Nocardioides phage X1","DSM 49101"
765,"Nocardioides phage X3","DSM 49102"
766,"Nocardioides phage X5","DSM 49103"
767,"Nocardioides phage X10","DSM 49104"
768,"Nocardioides phage X24","DSM 49105"
769,"Promicromonospora phage P2","DSM 49106"
770,"Promicromonospora phage P3","DSM 49107"
771,"Promicromonospora phage P4","DSM 49108"
772,"Oerskovia phage O2","DSM 49109"
773,"Cellulosimicrobium phage O8","DSM 49110"
774,"Oerskovia phage O6","DSM 49111"
775,"Cellulosimicrobium phage O5","DSM 49112"
776,"Lentzea phage W1","DSM 49113"
777,"Micropolyspora phage Tm1","DSM 49114"
778,"Rhodococcus phage N4","DSM 49115"
779,"Terrabacter phage Tb1","DSM 49116"
780,"Actinoplanes phage Ap3","DSM 49117"
781,"Actinoplanes phage Ap4","DSM 49118"
782,"Micromonospora phage Mm3","DSM 49119"
783,"Micromonospora phage Mm4","DSM 49120"
784,"Micromonospora phage Mm5","DSM 49121"
785,"Amycolatopsis phage W2","DSM 49122"
786,"Amycolatopsis phage W4","DSM 49123"
787,"Amycolatopsis phage W7","DSM 49124"
788,"Amycolatopsis phage W11","DSM 49125"
789,"Micromonospera phage Mm1","DSM 49126"
790,"phiUW 51","DSM 49127"
791,"Pseudomonas phage 7 Lindberg","DSM 21514"
792,"Pseudomonas phage 21 Lindberg","DSM 21515"
793,"Pseudomonas phage PB-1","DSM 21516"
794,"Pseudomonas phage D3","DSM 21517"
795,"Pseudomonas phage phi6 (Pseudomonas virus phi6)","DSM 21518"
796,"Pseudomonas phage F10 Lindberg","DSM 21519"
797,"Pseudomonas phage JG024 (Unassigned)","DSM 22045"
798,"Serratia phage phiHRO-C48/6","DSM 22908"
799,"Yersinia phage PhiR1-37 (Unassigned)","DSM 23251"
800,"Yersinia phage phiYeO3-12 (Yersinia virus YeO3-12)","DSM 23252"
801,"Yersinia phage Phi80-18 (Yersinia virus Phi80-18)","DSM 23253"
802,"Yersinia phage PhiR8-01 (Yersinia virus R8-01)","DSM 23254"
803,"Bacillus phage SPP1","DSM 25151"
804,"Rhodococcus phage V2","DSM 26593"
805,"Rhodococcus phage V6","DSM 26595"
806,"Rhodococcus phage V15","DSM 26596"
807,"Rhodococcus phage CV15","DSM 26598"
808,"Rhodococcus phage CV16","DSM 26599"
809,"Rhodococcus phage GV11","DSM 26601"
810,"Salmonella phage RMS3b","DSM 26812"
811,"Achromobacter phage JWDelta","DSM 26829"
812,"Achromobacter phage JWAlpha (Achromobacter virus JWAlpha)","DSM 26830"
813,"Escherichia phage vB_EcoP-PT-JD01","DSM 26951"
814,"Escherichia phage vB_EcoS-PT-JD02","DSM 26952"
815,"Klebsiella phage vB_KpnM-PT-JD03","DSM 27027"
816,"Klebsiella phage vB_KpnM-PT-JD04","DSM 27028"
817,"Pseudomonas phage vB_PaeP-PT-JD05","DSM 27059"
818,"Cronobacter phage vB_CduM-PT-JD06","DSM 27108"
819,"Pseudomonas phage vB_PflM-PT-JD08","DSM 27134"
820,"Pseudomonas phage vB_PaeS-PT-JD09","DSM 27186"
821,"Salmonella phage vB_Sen-PT-JD11","DSM 27199"
822,"Salmonella phage vB_Sen-PT-JD12","DSM 27200"
823,"Salmonella phage vB_SenS-PT-JD13","DSM 27252"
824,"Salmonella phage vB_SenS-PT-JD15","DSM 27254"
825,"Sanguibacter phage vB_SspS-PT-JD16","DSM 27275"
826,"Microbacterium phage vB_MspS-PT-JD17","DSM 27276"
827,"Ewingella phage vB_EamM-PT-JD18","DSM 27304"
828,"Salmonella phage vB_SenS-PT-JD20","DSM 27358"
829,"Salmonella phage vB_SenS-PT-JD21","DSM 27359"
830,"Salmonella phage vB_SboM-PT-JD22","DSM 27383"
831,"Sanguibacter phage vB_SspS-PT-JD23","DSM 27462"
832,"Enterobacter phage vB_EclM-PT-JD25","DSM 27524"
833,"Enterobacter phage vB_EclM-PT-JD26","DSM 27525"
834,"Stenotrophomonas phage vB_Shu-PT-JW-STHU1","DSM 28091"
835,"Stenotrophomonas phage vB_SteP-PT-JW-Ste1","DSM 28605"
836,"Paracoccus phage vB_Psp-PT-XU-01","DSM 28606"
837,"Stenotrophomonas phage vB_Shu-PT-XU-02","DSM 28607"
838,"Stenotrophomonas phage vB_Shu-PT-XU-03","DSM 28611"
839,"Escherichia phage vB_EcoP-PTXU04 (Escherichia virus PTXU04)","DSM 28612"
840,"Escherichia phage vB_EcoS-PT-XU06","DSM 28622"
841,"Escherichia phage vB_Eco-PT-MH-01","DSM 28623"
842,"Serratia phage vB_SmaM-PT-TH-01","DSM 29046"
843,"Escherichia phage vB_EcoS_MM01","DSM 29474"
844,"Escherichia phage vB_EcoM_MM02","DSM 29475"
845,vB_BpsS-140,"DSM 29700"
846,"Pseudomonas phage Phi Ppu-W4","DSM 100068"
847,"Pseudomonas phage Phi Ppu-W6","DSM 100069"
848,"Pseudomonas phage Phi Ppu-W7","DSM 100070"
849,"Pseudomonas phage Phi Ppu-W11","DSM 100071"
850,"Escherichia phage Phi Pst-W2","DSM 100072"
851,"Escherichia phage Phi Pst-W5","DSM 100073"
852,"Pseudomonas phage Phi Pfl-W2","DSM 100074"
853,"Pseudomonas phage Phi Pfl-W4","DSM 100075"
854,"Pseudomonas phage Phi Pfl-W5","DSM 100076"
855,"Pseudomonas phage Phi Pfl-W14","DSM 100077"
856,"Pseudomonas phage Phi Pco-W8","DSM 100078"
857,"Bacillus phage Phi Bmy-W5","DSM 100079"
858,"Bacillus phage Phi Bmy-W7","DSM 100080"
859,"Bacillus phage Phi Bmy-W9","DSM 100081"
860,"Yersinia phage Phi Yru-W10","DSM 100082"
861,"Arthrobacter phage Phi Ani-W9","DSM 100083"
862,"Arthrobacter phage Phi Asp-W5","DSM 100084"
863,"Arthrobacter phage Phi Asp-B1","DSM 100085"
864,"Escherichia phage vB_Eco-PT-GWK01","DSM 100269"
865,"Escherichia phage vB_EcoS-PT-GWK02","DSM 100270"
866,"Serratia phage Phi Sma Bi6","DSM 100351"
867,"Serratia Phi Sma-Bi3","DSM 100352"
868,"Serratia phage Phi Sma Bi1b","DSM 100354"
869,"Phi Sma Bi2","DSM 100355"
870,"Staphyloccoccus phage EBHT","DSM 26856"
871,"Staphylococcus phage MRLN (Staphylococcus virus K)","DSM 26857"
872,"Bacillus phage vB_BsuP-Goe1 (Bacillus virus Goe1)","DSM 101030"
873,"Escherichia phage vB_EcoS_IrisVonRoten (Bas32)","DSM 112910"
874,"Escherichia phage vB_EcoM_WFH","DSM 103160"
875,"Escherichia phage vB_EcoS_HdH2","DSM 103285"
876,"Escherichia phage vB_EcoM_HdK5","DSM 103286"
877,"Escherichia phage vB_EcoM_WFC","DSM 103287"
878,"Escherichia phage vB_EcoM-WFK (Escherichia virus RB69)","DSM 103288"
879,"Escherichia phage vB_EcoM_WfaE185","DSM 103289"
880,"Escherichia phage vB_EcoS-VAH1 (Escherichia phage T5)","DSM 103292"
881,"Escherichia phage vB_EcoS_EASG3","DSM 103294"
882,"Escherichia phage vB_EcoM_EdH4","DSM 103295"
883,"Escherichia phage vB_EcoS-WFL","DSM 103297"
884,"Escherichia phage vB_EcoS_HASG4","DSM 103298"
885,"Bacteroides phage vB_BinP-crASS001","DSM 109066"
886,"Escherichia phage vB_EcoM-G7","DSM 103872"
887,"Phage G17","DSM 103874"
888,"Escherichia phage vB_EcoM_G18","DSM 103875"
889,"Escherichia phage vB_EcoM-G28 (Escherichia virus G28)","DSM 103876"
890,"Escherichia phage vB_EcoM-G29 (Escherichia virus T4)","DSM 103877"
891,"Escherichia phage vB_EcoS-G29-2 (Escherichia virus G29-2)","DSM 103878"
892,"Escherichia phage vB_EcoM_G37-3","DSM 103879"
893,"Escherichia phage vB_EcoM-G50 (Escherichia virus G50)","DSM 103881"
894,"Escherichia phage vB_EcoM-G53 (Escherichia virus RB69)","DSM 103882"
895,"Escherichia phage vB_EcoM-G2285 (Escherichia virus RB69)","DSM 103884"
896,"Escherichia phage vB_EcoM-G2248","DSM 103883"
897,"Escherichia phage vB_EcoM-G2494 (Escherichia virus RB49)","DSM 103886"
898,"Escherichia phage vB_EcoM_G2540-2","DSM 103887"
899,"Escherichia phage vB_EcoM-G2540-3 (Escherichia virus T4)","DSM 103888"
900,"Escherichia phage vB_EcoM_G2540-4","DSM 103889"
901,"Escherichia phage vB_EcoM-G4500 (Escherichia virus T4)","DSM 103890"
902,"Escherichia phage vB_EcoM-G4507 (Escherichia virus G4507)","DSM 103891"
903,"Escherichia phage vB_EcoM-G5211 (Escherichia virus RB49)","DSM 103892"
904,"Escherichia phage vB_EcoM-G9062 (Escherichia virus G9062)","DSM 103893"
905,"Escherichia phage vB_EcoM-G10400 (Escherichia virus T4)","DSM 103894"
906,"Escherichia phage vB_EcoM_G2540 (Escherichia virus T4)","DSM 103895"
907,"Campylobacter phage vB_CjeM_Los1","DSM 103938"
908,"Escherichia phage vB_EcoM_Schickermooser (Escherichia virus Schickermooser)","DSM 104098"
909,"Escherichia phage vB_EcoM-KAW1E185 (Escherichia virus KAW1E185)","DSM 104099"
910,"Escherichia phage vB_EcoP_KAW1A4500","DSM 104100"
911,"Escherichia phage vB_Eco_WFN8246","DSM 104652"
912,"Escherichia phage vB_EcoM-WfbE185","DSM 104653"
913,"Escherichia phage vB_EcoS_HdK1","DSM 104654"
914,"Escherichia phage vB_EcoS-HdSG1","DSM 104655"
915,"Escherichia phage vB_EcoS-A1E185","DSM 104656"
916,"Escherichia phage vB_EcoM_AIIA2293","DSM 104657"
917,"Escherichia phage vB_EcoM_Goslar (Escherichia virus Goslar)","DSM 104658"
918,"Escherichia phage vB_EcoM-G4498 (Escherichia virus G4498)","DSM 104660"
919,"Escherichia phage vB_EcoM-G8 (Escherichia virus G8)","DSM 104661"
920,"Escherichia phage vB_EcoP_KAW1A2540","DSM 104662"
921,"Escherichia phage vB_EcoM-KAW3E185 (Escherichia virus T4)","DSM 104663"
922,"Escherichia phage vB_EcoS_KAW4","DSM 104664"
923,"Escherichia phage vB_EcoM_AIIIE17","DSM 104665"
924,"Escherichia phage vB_EcoM_WFL6982","DSM 104753"
925,"Escherichia phage vB_EcoM-G2133 (Escherichia virus T4)","DSM 104754"
926,"Escherichia phage vB_EcoM-WFD1823","DSM 104774"
927,"Escherichia phage WFM8246","DSM 104775"
928,"Bacillus phage vB_BthP_Goe4 (Bacillus virus Goe4)","DSM 105107"
929,"Bacillus phage vB_BthM_Goe5","DSM 105108"
930,"Staphylococcus phage vB_SauS_CS1","DSM 105264"
931,"Staphylococcus phage Phi DW2","DSM 105265"
932,"Escherichia phage vB_EcoM-STW1","DSM 105353"
933,"Escherichia phage vB_EcoS-ST W9","DSM 105438"
934,"Escherichia phage vB_Eco-STW12","DSM 105439"
935,"Pseudomonas phage Pco W10","DSM 105440"
936,"Escherichia phage vB_EcoM_KWBSE43-2","DSM 105655"
937,"Pseudomonas phage BD 19882-1","DSM 105808"
938,"Pseudomonas phage BD-19882-4","DSM 105809"
939,"Pseudomonas phage BD 19882-7","DSM 105810"
940,"Pseudomonas phage BD 19882-14","DSM 105811"
941,"Pseudomonas phage BD 19882-20","DSM 105812"
942,"Pseudomonas phage BD-19882-21","DSM 105813"
943,"Pseudomonas phage BD 19882-25","DSM 105814"
944,"Pseudomonas phage BD 19882-28","DSM 105815"
945,"Pseudomonas phage BD 19882-42","DSM 105816"
946,"Pseudomonas phage BD 19882-47","DSM 105817"
947,"Pseudomonas phage BD 19882-56","DSM 105818"
948,"Pseudomonas phage BD 19882-57","DSM 105819"
949,"Pseudomonas phage BD-22043-1","DSM 105820"
950,"Pseudomonas phage BD-22043-21","DSM 105821"
951,"Pseudomonas phage BD 22043-33","DSM 105822"
952,"Pseudomonas phage BD 22043-4","DSM 105823"
953,"Staphylococcus phage vB_SepP_Nepomuk","DSM 106137"
954,"Bacillus phage vB_BsuM_Schaumburg","DSM 106138"
955,"Burkholderia phage vB_BceM_Jonte","DSM 106139"
956,"Bordetella phage vB_BbrS-Mira","DSM 106140"
957,"Escherichia phage vB_EcoP-WFl101126","DSM 106161"
958,"Escherichia phage vB_EcoP-fFi-Eco01","DSM 106558"
959,"Escherichia phage vB_EcoM-fFi-Eco06","DSM 106559"
960,"Escherichia phage vB_EcoM-fFi-Eco07","DSM 106560"
961,"Escherichia phage vB_EcoM-fHo-Eco02 (Escherichia virus T4)","DSM 106561"
962,"Escherichia phage vB_EcoP-fHe-Eco02","DSM 106562"
963,"Escherichia phage vB_EcoP-fTu-Eco01","DSM 106563"
964,"Escherichia phage vB_EcoP-fOu-Eco01","DSM 106564"
965,"Escherichia phage vB_EcoM_Bhz7","DSM 106565"
966,"Acinetobacter phage vB_AbaS-Bhz9","DSM 106567"
967,"Escherichia phage vB_EcoM-fJo-Eco3","DSM 106580"
968,"Escherichia phage vB_EcoS_WF5505","DSM 101796"
969,"Escherichia phage vB_EcoS_4596","DSM 101792"
970,"Escherichia phage vB_EcoP_R4596 (Escherichia virus K1E)","DSM 101793"
971,"Escherichia phage vB_EcoM-D5505","DSM 101794"
972,"Escherichia phage vB_EcoM-OE5505 (Escherichia virus OE5505)","DSM 101795"
973,"Escherichia phage vB_EcoM-R5505","DSM 101797"
974,"Escherichia phage vB_EcoP-PMBT57","DSM 106787"
975,"Enterobacter phage vB_EclP-aire","DSM 106789"
976,"Klebsiella phage vB_KpnM-Seeler","DSM 107141"
977,"Klebsiella phage vB_KpnP-Michel","DSM 107142"
978,"Klebsiella phage vB_KpnP_Lessing","DSM 107143"
979,"Staphylococcus phage vB_ScaP_Albers","DSM 107144"
980,"Staphylococcus phage vB_ScaP_Pauli","DSM 107145"
981,"Proteus phage vB_PmiP-Homer","DSM 107146"
982,"Stenotrophomonas phage vB_SmaS-Ede","DSM 107147"
983,"Stenotrophomonas phage vB_SmaS-UKE1","DSM 107148"
984,"Stenotrophomonas phage vB_SmaS-UKE2","DSM 107149"
985,"Pseudomonas phage vB_PaeS-Otto","DSM 107150"
986,"Pseudomonas phage vB_PaeS-Geyer","DSM 107151"
987,"Burkholderia phage vB_BceM-Fynn","DSM 107315"
988,"Enterobacter phage vB_Ecl-Bud","DSM 107487"
989,"Enterobacter phage vB_Ecl-Rudi","DSM 107488"
990,"Enterobacter phage vB_Ecl-Kurt","DSM 107489"
991,"Escherichia phage vB_EcoM-PTJN1","DSM 107653"
992,"Escherichia phage vB_EcoM-PTJN2","DSM 107654"
993,"Escherichia phage vB_EcoM-PTJN3","DSM 107655"
994,"Escherichia phage vB_EcoM-PTJN4","DSM 107656"
995,"Escherichia phage vB_EcoM-PTJN-7","DSM 107659"
996,"Escherichia phage vB_EcoM-PTJN-8","DSM 107660"
997,"Staphylococcus phage vB_SepP_Spree","DSM 108057"
998,"Staphylococcus phage vB_SepP_UKE3","DSM 108058"
999,"Klebsiella phage vB_Kpn-UKE4","DSM 108059"
1000,"Staphylococcus phage vB_SepM_Alex","DSM 108061"
1001,"Staphylococcus phage vB_ScaP_August","DSM 108063"
1002,"Staphylococcus phage vB_SluM-UKE6","DSM 108069"
1003,"Rahnella phage vB_RvaM-O238","DSM 108187"
1004,"Pseudomonas phage vB_PfrM-S117","DSM 108189"
1005,"Acinetobacter phage vB_AbaM-Bhz12","DSM 108243"
1006,"Acinetobacter phage vB_AbaM-Bhz13","DSM 108244"
1007,"Acinetobacter phage vB_AbaM-Bhz15","DSM 108246"
1008,"Acinetobacter phage vB_AbaP-Bhz16","DSM 108247"
1009,"Escherichia phage vB_EcoP-M2","DSM 108257"
1010,"Staphylococcus phage vB_ScaP-BVG","DSM 108062"
1011,"Pseudomonas phage vB_PaeS-M144","DSM 108551"
1012,"Cutibacterium phage vB_CacS-Bhz19","DSM 108586"
1013,"Acinetobacter phage vB_AbaS-Bhz20","DSM 108587"
1014,"Acinetobacter phage vB_AbaP-Bhz21","DSM 108588"
1015,"Acinetobacter phage vB_AbaM-Bhz22","DSM 108589"
1016,"Acinetobacter phage vB_AbaM-Bhz23","DSM 108590"
1017,"Klebsiella phage vB_KoxP-Bhz24","DSM 108591"
1018,"Klebsiella phage vB_KoxP-Bhz25","DSM 108592"
1019,"Klebsiella phage vB_KpnP-Bhz26","DSM 108593"
1020,"Klebsiella phage vB_KpnP-Bhz27","DSM 108594"
1021,"Klebsiella phage vB_KpnM-Bhz28","DSM 108595"
1022,"Acinetobacter phage vB_AbaM-Bhz29","DSM 108596"
1023,"Acinetobacter phage vB_AbaS-Bhz34","DSM 108601"
1024,"Acinetobacter phage vB_AbaM-Bhz35","DSM 108602"
1025,"Acinetobacter phage vB_AbaM-Bhz41","DSM 108608"
1026,"Pectobacterium phage vB_PatP_CB1","DSM 108907"
1027,"Pectobacterium phage vB_PatP_CB3","DSM 108908"
1028,"Pectobacterium phage vB_PatP_CB4","DSM 108909"
1029,"Pectobacterium phage vB_Patp_CB5","DSM 108910"
1030,"Pectobacterium phage vB_PatP_CB7","DSM 108911"
1031,"Pectobacterium phage vB_PcaM_CBB","DSM 108912"
1032,"Bacillus phage vB_BmeM-Goe8 (Bacillus virus vBBmeMGoe8)","DSM 109056"
1033,"Bacillus phage vB_BveM-Goe7","DSM 109177"
1034,"Escherichia phage vB_EcoS_Fiesly-1","DSM 109362"
1035,"Bacillus phage vB_BsuM-Goe9","DSM 109899"
1036,"Bacillus phage vB_BsuS-Goe13","DSM 109903"
1037,"Pseudomonas phage vB_PaeM-PT-MAS01","DSM 109904"
1038,"Pseudomonas phage vB_PaeM-PT-MAS02","DSM 109905"
1039,"Pseudomonas phage vB_PaeS-PT-MAS03","DSM 109906"
1040,"Pseudomonas phage vB_PaeS-PT-MAS04","DSM 109907"
1041,"Pseudomonas phage vB_PaeP-PT-MAS05","DSM 109908"
1042,"Enterococcus phage vB_EfaS_Strempel1","DSM 110103"
1043,"Enterococcus phage vB_EfaP-Strempel2","DSM 110104"
1044,"Enterococcus phage vB_EfaP_Strempel3","DSM 110105"
1045,"Enterococcus phage vB_EfaP_Strempel4","DSM 110106"
1046,"Enterococcus phage vB_EfaP_Strempel5","DSM 110107"
1047,"Enterococcus phage vB_EfaS_Strempel6","DSM 110108"
1048,"Agrobacterium phage 7-7-1","DSM 110111"
1049,"Aeromonas phage vB_AhyS-AEH5","DSM 110112"
1050,"Citrobacter phage vB_CfrM-B1","DSM 110282"
1051,"Citrobacter phage vB_CfrS-BWKH1","DSM 110283"
1052,"Citrobacter phage vB_CfrM-Bi1","DSM 110284"
1053,"Citrobacter phage vB_CfrM-Bi2","DSM 110285"
1054,"Escherichia phage vB_EcoS-RTP (Escherichia virus Rtp)","DSM 110509"
1055,"Salmonella phage vB_SenS-BWB","DSM 110580"
1056,"Corynebacterium phage vB_CglS_Spe2","DSM 110582"
1057,"Klebsiella phage vB_KpnS_Klebbi1","DSM 111095"
1058,"Cellulophaga phage Calle_1","DSM 111231"
1059,"Polaribacter phage Danklef_1","DSM 111232"
